開始時間,結束時間,1位昵稱,1位得分,2位昵稱,2位得分,3位昵稱,3位得分,4位昵稱,4位得分,標籤,牌譜鏈接
2024-02-01 22:20:45,2024-02-01 23:00:45,灵灵九,+32.10,花花打麻将,+19.80,WoZai,-9.90,凛波暖阳,-42.00,auto,240201-7d2ba4f8-626f-4069-b4c1-efb57025a588
2024-02-01 21:39:19,2024-02-01 22:16:27,力气大的剑豪,+35.90,筱殇,+2.20,TheCutePoro,-11.50,568998,-26.60,auto,240201-3f9b318b-a2f7-4e23-b6f0-b0f25d4ff414
2024-02-01 21:25:14,2024-02-01 22:09:05,萍馨蕊,+50.40,打铁的顿师傅,+5.40,灵灵九,-21.00,凛波暖阳,-34.80,auto,240201-13bd99c8-a95b-4052-8820-fcaf4e3ad302
2024-02-01 20:44:59,2024-02-01 21:30:13,力气大的剑豪,+26.40,左拥多肉右抱亮,+10.00,TheCutePoro,-1.30,568998,-35.10,auto,240201-5ad082c4-4bb0-4c99-8487-1cf9841c89c2
2024-02-01 20:32:55,2024-02-01 21:19:35,灵灵九,+46.70,笑摸下家欧派,+28.30,萍馨蕊,-8.90,打铁的顿师傅,-66.10,auto,240201-a246f5c8-9c31-483b-a1ab-894d28ab71be
2024-02-01 17:39:12,2024-02-01 18:04:16,笑摸下家欧派,+22.00,偶练吉他的小酥,+11.90,萍馨蕊,-0.90,teamtimo,-33.00,auto,240201-1f9b2e2a-c635-4433-9b7f-ec46f377b894
2024-02-01 16:35:09,2024-02-01 17:19:13,ホーリーナイト,+24.20,電腦困难,+13.40,偶练吉他的小酥,-13.60,西伯利亚胖狐狸,-24.00,auto,240201-9a5df395-c95e-4119-a2be-49a12312bcaf
2024-02-01 16:18:16,2024-02-01 16:54:43,568998,+33.70,熊本橘子,+18.60,TheCutePoro,-13.20,1番狂日4风连吃,-39.10,auto,240201-59753b67-1645-4158-9a33-db89ba2fce42
2024-01-31 22:59:43,2024-01-31 23:38:43,1番狂日4风连吃,+25.20,伊纸鹤,+12.00,打铁的顿师傅,-4.80,灯華,-32.40,auto,240131-1b9fdf0a-a9ba-4ba2-ba33-23be7e7fc9c6
2024-01-31 21:21:15,2024-01-31 21:59:30,一只鲁小士呀,+32.70,牵着窝仔去旅行,+1.10,黎刻,-9.70,何必辞修,-24.10,auto,240131-6bbfcaf3-bb57-412d-b539-a05725ca06e5
2024-01-31 20:52:31,2024-01-31 21:18:17,萍馨蕊,+24.20,伊小鹤,+8.30,牵着窝仔去旅行,-3.10,黎刻,-29.40,auto,240131-448c1852-edf5-481b-a643-0a23d8f96e2a
2024-01-31 17:18:25,2024-01-31 17:44:45,萍馨蕊,+24.60,笑摸下家欧派,+11.60,568998,-2.40,灯華,-33.80,auto,240131-b7796094-8827-43ee-bb9c-c7cf4bf2acc2
2024-01-31 15:40:33,2024-01-31 16:32:57,笑摸下家欧派,+37.40,偶练吉他的小酥,+17.70,南宫夏、,-13.40,ホーリーナイト,-41.70,auto,240131-9a54c04c-bdcd-419f-a8a4-b5ebee8fb8d5
2024-01-30 21:26:37,2024-01-30 22:19:51,卡哇伊斯的内,+31.20,teamtimo,+12.70,568998,-14.80,凤梨是玻璃吗,-29.10,auto,240130-20002e3c-45f7-436f-a393-99e79f426b89
2024-01-30 18:24:33,2024-01-30 18:51:56,偶练吉他的小酥,+34.60,萍馨蕊,+2.70,笑摸下家欧派,-8.50,伊莉雅QAQ,-28.80,auto,240130-e510ff4c-29ff-42e2-9aac-f4ba1869609a
2024-01-30 17:43:06,2024-01-30 18:16:11,ホーリーナイト,+20.00,凤梨是玻璃吗,+8.80,偶练吉他的小酥,-6.60,teamtimo,-22.20,auto,240130-97a36a4f-0c22-4240-abcc-5070bb6228dc
